restaurant_id,restaurant_name,city,cuisine,avg_prep_time_minutes,rating,price_category
REST0001,Bella Pasta,Delhi,Italian,17,4.8,Budget
REST0002,Tandoori Nights,Kolkata,North Indian,24,4.3,Mid-range
REST0003,Idli Express,Mumbai,South Indian,19,4.6,Premium
REST0004,The Continental Kitchen,Hyderabad,Continental,19,4.4,Budget
REST0005,Bazaar Bites,Bangalore,Street Food,11,4.5,Budget
REST0006,Oriental Bowl,Hyderabad,Chinese,19,4.2,Budget
REST0007,Sambar House,Mumbai,South Indian,17,4.2,Budget
REST0008,Fry Nation,Ahmedabad,Fast Food,14,4.4,Mid-range
REST0009,Golden Crust Bakery,Chennai,Bakery,11,4.4,Mid-range
REST0010,Dum Delight,Chennai,Biryani,21,4.1,Premium
REST0011,Hyderabadi Dum Biryani,Bangalore,Biryani,25,4.2,Mid-range
REST0012,Sweet Crumbs,Bangalore,Bakery,11,4.8,Premium
REST0013,Hyderabadi Dum Biryani Hyderabad,Hyderabad,Biryani,29,4.7,Premium
REST0014,Dosa Plaza,Mumbai,South Indian,18,3.8,Budget
REST0015,Tasty Chaat Corner,Delhi,Street Food,15,3.9,Budget
REST0016,Burger Hub,Kolkata,Fast Food,11,4.0,Premium
REST0017,Biryani Express,Bangalore,Biryani,21,4.5,Budget
REST0018,Wholesome Bowl,Bangalore,Healthy,18,4.2,Budget
REST0019,Dum Delight Mumbai,Mumbai,Biryani,29,4.0,Budget
REST0020,Sweet Crumbs Bangalore,Bangalore,Bakery,8,4.1,Mid-range
REST0021,Bite Express,Delhi,Fast Food,11,4.1,Budget
REST0022,Delhi Darbar,Pune,North Indian,21,4.5,Mid-range
REST0023,Quick Bites,Hyderabad,Fast Food,11,4.3,Mid-range
REST0024,Spice Street,Ahmedabad,Street Food,15,3.8,Mid-range
REST0025,Coconut Grove,Mumbai,South Indian,16,4.3,Budget
REST0026,Tasty Chaat Corner Bangalore,Bangalore,Street Food,15,4.4,Premium
REST0027,Snack Shack,Mumbai,Fast Food,11,4.8,Mid-range
REST0028,Maharaja Kitchen,Bangalore,North Indian,16,4.5,Mid-range
REST0029,Amritsar Express,Mumbai,North Indian,19,4.2,Premium
REST0030,Golden Panda,Hyderabad,Chinese,20,4.6,Budget
REST0031,Sugar Bliss,Kolkata,Desserts,8,4.2,Premium
REST0032,Baker's Delight,Chennai,Bakery,12,4.4,Budget
REST0033,Coffee Corner,Mumbai,Cafe,5,4.5,Premium
REST0034,Dragon Wok,Chennai,Chinese,19,4.4,Premium
REST0035,Delhi Darbar Mumbai,Mumbai,North Indian,20,4.4,Budget
REST0036,Tuscany Table,Delhi,Italian,25,3.9,Budget
REST0037,Madras Cafe,Chennai,South Indian,19,4.1,Budget
REST0038,Mumbai Tiffin,Chennai,Street Food,14,4.4,Premium
REST0039,Biryani Express Chennai,Chennai,Biryani,23,3.9,Budget
REST0040,Vital Greens,Chennai,Healthy,16,3.7,Premium
REST0041,Royal Tandoor,Chennai,North Indian,24,4.1,Budget
REST0042,Daily Grind Cafe,Mumbai,Cafe,5,4.6,Mid-range
REST0043,Burger Hub Chennai,Chennai,Fast Food,14,4.3,Premium
REST0044,Royal Tandoor Pune,Pune,North Indian,20,4.0,Mid-range
REST0045,Maharaja Kitchen Bangalore,Bangalore,North Indian,15,4.6,Budget
REST0046,Little Italy,Hyderabad,Italian,16,3.9,Budget
REST0047,Oven Fresh,Mumbai,Bakery,10,4.5,Budget
REST0048,Urban Burgers,Bangalore,Fast Food,10,4.3,Premium
REST0049,Little Italy Mumbai,Mumbai,Italian,18,3.8,Budget
REST0050,Chaat Junction,Mumbai,Street Food,13,4.4,Budget
REST0051,Daily Grind Cafe Hyderabad,Hyderabad,Cafe,6,4.2,Premium
REST0052,Mumbai Tiffin Mumbai,Mumbai,Street Food,17,4.3,Budget
REST0053,Pizza Palace,Delhi,Italian,17,4.4,Budget
REST0054,Biryani Express Delhi,Delhi,Biryani,23,4.4,Mid-range
REST0055,The Continental Kitchen Delhi,Delhi,Continental,27,4.5,Premium
REST0056,Shanghai Bites,Delhi,Chinese,15,4.3,Mid-range
REST0057,Idli Express Chennai,Chennai,South Indian,18,4.8,Mid-range
